country;region;year;population_total_people;population_rural_people;political_stability;basic_drinking_water_pct;safely_managed_drinking_water_pct;wash_mortality_rate_per_100k;wash_deaths;rural_share_pct;basic_minus_safe_gap_pct;risk_low_basic;risk_low_safe;risk_high_gap;risk_high_mortality;risk_low_stability;risk_high_rurality;score_creation_services;score_modernisation_services;score_gouvernance;action_prioritaire;wash_score_inverse;water_access_score;gov_effectiveness_score
Colombia;Americas;2016;48175052.0;9678238.0;-0.88;96.96181;72.99789;0.7531;366.4109;20.08973026121487;23.96392;0.0373680274719327;0.2828298116615864;0.363199592361507;0.0073916595776689;0.5397727272727273;0.1849004298168106;7.413365620183018;25.58716044897752;98.11132202111655;Renforcer la gouvernance politique;0.992608340422331;0.9696181;0.9811132202111655
Comoros;Africa;2016;795592.0;567911.0;0.04;80.14886;;50.73689;403.6642;71.38219087170309;;0.2441571715323081;;;0.5021001743423316;0.3655303030303031;0.6569823288730092;43.24904694370243;50.21001743423316;64.96942128288342;Moderniser les services d'eau;0.49789982565766844;0.8014886;0.6496942128288342
Congo;Africa;2016;4980996.0;1742734.0;-0.52;72.18665;44.76963;38.70865;1984.138;34.98766110231769;27.41702;0.3420875520264487;0.5785027594176801;0.415535124794578;0.3830521240517692;0.471590909090909;0.3220169455730779;34.63075130967676;48.23739602264122;66.94071879741153;Moderniser les services d'eau;0.6169478759482308;0.7218665;0.6694071879741154
Cook Islands;Western Pacific;2016;17524.0;4411.0;;99.8796;;;;25.17119379137183;;0.0014809703732129;;;;;0.2316688422647561;9.35561191298302;;;Créer ou étendre les services d'eau;;0.998796;
Costa Rica;Americas;2016;4899345.0;1081494.0;0.66;99.69976;93.7039;0.86387;41.96055;22.074256864948275;5.995859999999993;0.0036928939004832;0.0659476158419661;0.0908738598633555;0.0084879922523316;0.2481060606060605;0.2031654745556946;6.473344268500876;6.317987653152556;99.42548038738342;Renforcer la gouvernance politique;0.9915120077476683;0.9969975999999999;0.9942548038738341
Croatia;Europe;2016;4208602.0;1836858.0;0.66;99.58675;89.95949;0.11204;4.72051;43.64532450443164;9.627259999999993;0.005082848737098;0.1051679128885214;0.1459117251083395;0.0010468457795348;0.2481060606060605;0.4016997319244032;12.305891295389882;9.860403374366046;99.74103271102325;Renforcer la gouvernance politique;0.9989531542204652;0.9958674999999999;0.9974103271102326
Cuba;Americas;2016;11335104.0;2647509.0;0.69;95.32452;;1.02635;117.7832;23.356724384707896;;0.0575057069201325;;;0.0100961183964068;0.2424242424242424;0.2149689578551918;9.28922850697189;1.0096118396406857;97.15745408017966;Renforcer la gouvernance politique;0.9899038816035931;0.9532452;0.9715745408017966
Curaçao;Americas;2016;161052.0;17097.0;;;;;;10.615825944415468;;;;;;;0.0977051834176378;9.770518341763788;;;Créer ou étendre les services d'eau;;;
Cyprus;Europe;2016;1170187.0;387536.0;0.6;99.6132;99.6132;0.27908;3.26564;33.11744191313012;0.0;0.0047575296907439;0.0040514823156672;0.0;0.0027001039719666;0.259469696969697;0.3048039552822109;9.425710093848974;0.2363187836443577;99.67159480140167;Renforcer la gouvernance politique;0.9972998960280334;0.996132;0.9967159480140166
Czechia;Europe;2016;10618857.0;2804473.0;0.98;99.88017;97.881;0.17881;18.97327;26.41030950882943;1.9991700000000063;0.0014739597170154;0.0221951681150436;0.0302996224766797;0.0017076937770724;0.1875;0.2430733273310887;7.401220351625169;2.093423227402204;99.85470031114639;Renforcer la gouvernance politique;0.9982923062229275;0.9988017;0.9985470031114638
Côte d'Ivoire;Africa;2016;23822714.0;11876170.0;-0.91;72.76205;36.39219;47.15776;11174.47;49.85229642600755;36.36986;0.3350104790861056;0.6662510789899743;0.5512252722528317;0.4666761681505312;0.5454545454545454;0.4588270184154494;40.50718631510152;58.60770644640858;63.04721659247343;Moderniser les services d'eau;0.5333238318494687;0.7276205;0.6304721659247343
Democratic People's Republic of Korea;South-East Asia;2016;25307665.0;9774246.0;-0.68;94.8621;66.79067;1.35658;344.1445;38.62168240333512;28.071429999999992;0.063193194005766;0.3478464664171604;0.4254534288632484;0.0133645298720219;0.5018939393939394;0.3554634922307399;13.841711743982218;30.81125159642635;96.7628235063989;Renforcer la gouvernance politique;0.986635470127978;0.9486209999999999;0.967628235063989
Democratic Republic of the Congo;Africa;2016;78789127.0;44637912.0;-2.23;42.97677;;59.75592;47049.52;56.65491381824804;;0.7013514577245132;;;0.5913649326953483;0.7954545454545454;0.5214364643039735;61.98803284410601;59.13649326953483;41.92013836523258;Renforcer la gouvernance politique;0.4086350673046517;0.42976770000000003;0.41920138365232584
Denmark;Europe;2016;5711349.0;705862.0;0.87;100.0;96.73594;0.30561;17.45619;12.358936566474926;3.2640600000000006;1.2299396845438793e-07;0.0341889383848935;0.0494704230962004;0.0029626814375151;0.2083333333333333;0.1137483009232659;3.4865215983644364;3.32922066443753;99.85186592812425;Renforcer la gouvernance politique;0.9970373185624849;1.0;0.9985186592812425
Djibouti;Eastern Mediterranean;2016;929112.0;211764.0;-0.63;75.60252;;31.28645;294.826;22.7920853460078;;0.3000744113508674;;;0.3095917974481587;0.4924242424242424;0.2097721732498476;27.536308644488432;30.95917974481588;72.32167012759206;Renforcer la gouvernance politique;0.6904082025518412;0.7560252;0.7232167012759205
Dominica;Americas;2016;71307.0;22151.0;1.0;;;;;31.064271389905617;;;;;;0.1837121212121211;0.2859071305217345;28.590713052173456;;;Créer ou étendre les services d'eau;;;
Dominican Republic;Americas;2016;10397741.0;2189850.0;0.25;96.57637;;2.20544;234.8522;21.060824654124392;;0.0421087069890093;;;0.0217660190316701;0.3257575757575758;0.1938381192883469;8.254185868947584;2.1766019031670125;97.1998840484165;Renforcer la gouvernance politique;0.9782339809683299;0.9657637;0.971998840484165
